2020-06-08 14:54:24.656194 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [9.36 ms]
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency Results Viewer CE 9.7.1+0031e3f6
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency CSV 9.7.1+0031e3f6
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency SQLite and PostgreSQL 9.4.2+3009aace
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency SDK 9.7.0+c65b0c5a
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency Visual Studio SDK CE 1.0.8+30d65bf9
2020-06-08 14:54:28.968222 ; PackageAction  ; Debug       ; Downloading 'Visual Studio SDK CE' version '1.0.8+30d65bf9' from 'https://packages.opentap.io'
2020-06-08 14:54:30.771214 ; PackageAction  ; Information ; Downloaded 'Visual Studio SDK CE' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\Visual Studio SDK CE.1.0.8+30d65bf9.TapPackage'. [2.62 s]
2020-06-08 14:54:31.433288 ; PackageAction  ; Debug       ; Downloading 'SDK' version '9.7.0+c65b0c5a' from 'https://packages.opentap.io'
2020-06-08 14:54:35.012293 ; PackageAction  ; Information ; Downloaded 'SDK' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\SDK.9.7.0+c65b0c5a.Windows,Linux.TapPackage'. [4.24 s]
2020-06-08 14:54:35.673109 ; PackageAction  ; Debug       ; Downloading 'SQLite and PostgreSQL' version '9.4.2+3009aace' from 'https://packages.opentap.io'
2020-06-08 14:54:40.454130 ; PackageAction  ; Information ; Downloaded 'SQLite and PostgreSQL' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage'. [5.44 s]
2020-06-08 14:54:41.060555 ; PackageAction  ; Debug       ; Downloading 'CSV' version '9.7.1+0031e3f6' from 'https://packages.opentap.io'
2020-06-08 14:54:42.603858 ; PackageAction  ; Information ; Downloaded 'CSV' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\CSV.9.7.1+0031e3f6.TapPackage'. [2.14 s]
2020-06-08 14:54:43.222278 ; PackageAction  ; Debug       ; Downloading 'Results Viewer CE' version '9.7.1+0031e3f6' from 'https://packages.opentap.io'
2020-06-08 14:54:47.955190 ; PackageAction  ; Information ; Downloaded 'Results Viewer CE' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\Results Viewer CE.9.7.1+0031e3f6.x64.TapPackage'. [5.35 s]
2020-06-08 14:54:48.624488 ; PackageAction  ; Debug       ; Downloading 'WPF Controls' version '9.7.1+0031e3f6' from 'https://packages.opentap.io'
2020-06-08 14:54:52.014387 ; PackageAction  ; Information ; Downloaded 'WPF Controls' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\WPF Controls.9.7.1+0031e3f6.TapPackage'. [4.05 s]
2020-06-08 14:54:52.672275 ; PackageAction  ; Debug       ; Downloading 'OSIntegration' version '1.2.1+3fecaa50' from 'https://packages.opentap.io'
2020-06-08 14:54:53.891042 ; PackageAction  ; Information ; Downloaded 'OSIntegration' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\OSIntegration.1.2.1+3fecaa50.TapPackage'. [1.87 s]
2020-06-08 14:54:54.509710 ; PackageAction  ; Debug       ; Downloading 'Editor CE' version '9.7.1+0031e3f6' from 'https://packages.opentap.io'
2020-06-08 14:54:59.775256 ; PackageAction  ; Information ; Downloaded 'Editor CE' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\Editor CE.9.7.1+0031e3f6.x64.TapPackage'. [5.88 s]
2020-06-08 14:55:00.374283 ; PackageAction  ; Debug       ; Downloading 'Developer's System CE' version '9.7.1+0031e3f6' from 'https://packages.opentap.io'
2020-06-08 14:55:01.223228 ; PackageAction  ; Information ; Downloaded 'Developer's System CE' to 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\PackageCache\Developer's System CE.9.7.1+0031e3f6.TapPackage'. [1.44 s]
2020-06-08 14:55:01.483829 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Keysight.OpenTap.Sdk.MSBuild.dll [59.0 ms]
2020-06-08 14:55:01.521727 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/OpenTap.Sdk.New.dll [37.9 ms]
2020-06-08 14:55:01.588824 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/OpenTap.xml [67.8 ms]
2020-06-08 14:55:01.785691 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/PackageSchema.xsd [196 ms]
2020-06-08 14:55:01.852479 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/OpenTAP Developer Guide.pdf [67.1 ms]
2020-06-08 14:55:01.863447 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/.OpenTapIgnore [10.8 ms]
2020-06-08 14:55:01.905217 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/Examples.sln [41.0 ms]
2020-06-08 14:55:01.917327 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/ExamplePlugin.csproj [12.9 ms]
2020-06-08 14:55:01.934251 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/GeneratorInstrument.cs [16.0 ms]
2020-06-08 14:55:01.963397 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/LowPassFilterDut.cs [29.7 ms]
2020-06-08 14:55:02.015709 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/MeasurePeakAmplitudeTestStep.cs [51.7 ms]
2020-06-08 14:55:02.031443 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/package.xml [16.5 ms]
2020-06-08 14:55:02.047415 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/SomeSampleData.txt [15.8 ms]
2020-06-08 14:55:02.124076 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/AssemblyInfo.cs [75.8 ms]
2020-06-08 14:55:02.139035 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/launchSettings.json [15.1 ms]
2020-06-08 14:55:02.189973 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/package.xml [51.3 ms]
2020-06-08 14:55:02.207467 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/PluginDevelopment.csproj [17.6 ms]
2020-06-08 14:55:02.226532 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ButtonCreation.cs [19.2 ms]
2020-06-08 14:55:02.243784 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/CustomBenchSettings.cs [16.8 ms]
2020-06-08 14:55:02.259151 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ExampleSettings.cs [15.0 ms]
2020-06-08 14:55:02.372848 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/IPAnnotation.cs [114 ms]
2020-06-08 14:55:02.401770 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/TestPlanCustomImportExport.cs [28.1 ms]
2020-06-08 14:55:02.450640 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/UserInputExample.cs [49.4 ms]
2020-06-08 14:55:02.480560 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ConnectionStep.cs [29.7 ms]
2020-06-08 14:55:02.497516 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/FourPortDut.cs [17.2 ms]
2020-06-08 14:55:02.587191 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/InterfaceBasedInstrument.cs [89.4 ms]
2020-06-08 14:55:02.665537 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/MeasureUsingConnectionsStep.cs [78.4 ms]
2020-06-08 14:55:02.690468 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ScpiInstrumentExample.cs [24.9 ms]
2020-06-08 14:55:02.717397 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchMatrixStep.cs [26.1 ms]
2020-06-08 14:55:02.744327 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchStep.cs [27.4 ms]
2020-06-08 14:55:02.764273 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleDut.cs [19.6 ms]
2020-06-08 14:55:02.789205 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleInstrument.cs [25.1 ms]
2020-06-08 14:55:02.828100 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SwitchMatrixInstrument.cs [38.4 ms]
2020-06-08 14:55:02.842064 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/TwoPortInstrument.cs [14.6 ms]
2020-06-08 14:55:02.881957 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/TwoPositionSwitchInstrument.cs [39.6 ms]
2020-06-08 14:55:02.937807 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/UsingDutAndInstStep.cs [56.2 ms]
2020-06-08 14:55:02.977702 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Properties/AssemblyInfo.cs [39.2 ms]
2020-06-08 14:55:02.979700 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Properties/launchSettings.json [2.26 ms]
2020-06-08 14:55:02.982688 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/ResultListeners/EventResultListener.cs [3.02 ms]
2020-06-08 14:55:03.008619 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/ResultListeners/ExampleResultListener.cs [25.5 ms]
2020-06-08 14:55:03.025574 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/DynamicStep.cs [16.6 ms]
2020-06-08 14:55:03.028599 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/AvailableValuesAttributeExample.cs [3.47 ms]
2020-06-08 14:55:03.043527 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/BrowsableAttributeExample.cs [14.5 ms]
2020-06-08 14:55:03.073444 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ColumnDisplayAttributeExample.cs [30.0 ms]
2020-06-08 14:55:03.076439 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DisplayAttributeExample.cs [3.15 ms]
2020-06-08 14:55:03.104362 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DynamicNameDisplayAttribute.cs [27.8 ms]
2020-06-08 14:55:03.164201 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/EmbedPropertiesAttributeExample.cs [60.4 ms]
2020-06-08 14:55:03.179162 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/EnabledIfAttributeExample.cs [14.7 ms]
2020-06-08 14:55:03.232021 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/FlagsAttributeExample.cs [52.5 ms]
2020-06-08 14:55:03.275903 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/PathAttributeExample.cs [44.1 ms]
2020-06-08 14:55:03.288868 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ResultListenerIgnoreAttributeExample.cs [13.0 ms]
2020-06-08 14:55:03.291862 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ScpiAttributeExample.cs [2.66 ms]
2020-06-08 14:55:03.312803 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/UnitAttributeExample.cs [20.7 ms]
2020-06-08 14:55:03.315797 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/XmlIgnoreAttributeExample.cs [3.28 ms]
2020-06-08 14:55:03.334747 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/InputOutput/GenerateOutput.cs [18.5 ms]
2020-06-08 14:55:03.388601 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/InputOutput/HandleInput.cs [54.2 ms]
2020-06-08 14:55:03.415529 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ChildSeekingResources.cs [27.0 ms]
2020-06-08 14:55:03.449438 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ParentAnyChildren.cs [33.6 ms]
2020-06-08 14:55:03.475373 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ParentWithResources.cs [25.4 ms]
2020-06-08 14:55:03.566136 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/ResultsForXyArray.cs [91.3 ms]
2020-06-08 14:55:03.632948 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/ResultsWithCustomClass.cs [66.5 ms]
2020-06-08 14:55:03.689795 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/SetOfNameValuePairs.cs [56.5 ms]
2020-06-08 14:55:03.739663 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/SingleNameValuePair.cs [50.2 ms]
2020-06-08 14:55:03.814465 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/AbortsTheTestPlan.cs [75.0 ms]
2020-06-08 14:55:03.845381 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/AccessingComponentSettings.cs [31.0 ms]
2020-06-08 14:55:03.882280 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/DeferTaskStep.cs [36.2 ms]
2020-06-08 14:55:03.963064 ; package        ; Debug       ; Decompressed C:/Users/ae1/source/repos/tarang1606/ASEPL-S_Series_Oscilloscope/S_Series_Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/LogMessages.cs [81.2 ms]
